scale,CtreesHaloID,pid,mvir,rvir,rs,x,y,z,Mmvir_all,M200b,M200c,M500c,T/|U|,Halfmass_Scale,Acc_Rate_Inst,Acc_Rate_100Myr,Acc_Rate_1*Tdyn,Acc_Rate_2*Tdyn,Acc_Rate_Mpeak,c_vir,R200c,R500c,redshift,Ngal_Dsep_1,Ngal_Rvir,Ngal_R200c,Ngal_R500c
0.4922,7480095636,-1,105850000000000.0,1.1380260009999998,257.671997,741.2525,57.4881,667.48871,105850000000000.0,106030000000000.0,97636000000000.0,66717000000000.0,0.6675,0.3944,10070.0,10070.0,18830.0,35240.0,36920.0,4.416568405762701,0.4883572185022987,0.2752841447318552,1.031694433157253,62.0,79.0,18.0,6.0
0.4922,7470077390,-1,85292000000000.0,1.058994019,306.983002,722.09906,43.59944,689.75549,85294000000000.0,85432000000000.0,78849000000000.0,53025000000000.0,0.631,0.3773,9493.0,9493.0,11400.0,24330.0,23120.0,3.4496829208804,0.4534471882653022,0.2529795352691155,1.031694433157253,66.0,72.0,21.0,9.0
0.4922,7480681899,-1,96843000000000.0,1.1047910159999998,359.0,759.76971,95.2252,629.24323,96881000000000.0,96959000000000.0,89360000000000.0,55143000000000.0,0.6445,0.3773,31790.0,31790.0,22570.0,28870.0,26310.0,3.0774123008356,0.4736691916519957,0.265877409538407,1.031694433157253,64.0,72.0,11.0,4.0
0.4922,7480682085,-1,57318000000000.0,0.927588989,292.77301,758.83606,99.46062,630.18573,57364000000000.0,57461000000000.0,51375000000000.0,32984000000000.0,0.6998,0.369,-7702.0,-7702.0,6634.0,14660.0,15930.0,3.1682872304383,0.3955286419307264,0.2164214834970318,1.031694433157253,41.0,40.0,8.0,4.0
0.4922,7480058523,-1,58380000000000.0,0.933278992,178.654007,762.84766,23.75169,617.49646,58428000000000.0,58503000000000.0,53716000000000.0,40374000000000.0,0.7227,0.353,20920.0,20920.0,7234.0,12420.0,8358.0,5.223946597514599,0.3980345714700996,0.2179901792172294,1.031694433157253,42.0,41.0,11.0,5.0
0.4922,7480059345,-1,73146000000000.0,1.006132019,219.751999,733.93152,32.40571,637.23492,73146000000000.0,73283000000000.0,66544000000000.0,46324000000000.0,0.6903,0.3303,9922.0,9922.0,9895.0,14970.0,13180.0,4.5784885852164,0.4301273481975806,0.2381881007309401,1.031694433157253,45.0,45.0,14.0,4.0
0.4922,7480096661,-1,84514000000000.0,1.055762939,342.526001,786.63751,30.63793,662.24628,84961000000000.0,84619000000000.0,79156000000000.0,45629000000000.0,0.6728,0.4123,49130.0,49130.0,38040.0,34370.0,37910.0,3.082285537208,0.4520217174809469,0.2520727351308471,1.031694433157253,82.0,85.0,15.0,8.0
0.4922,7480724971,-1,53650000000000.0,0.907361023,197.561005,749.58069,97.59386,659.87231,53796000000000.0,53749000000000.0,50365000000000.0,36684000000000.0,0.7878,0.3773,16890.0,16890.0,16700.0,14890.0,15000.0,4.5928143714393,0.3866302731525272,0.2108608575353688,1.031694433157253,49.0,49.0,14.0,7.0
0.4922,7480057032,-1,66894000000000.0,0.976609009,210.065002,784.72595,10.93051,624.96057,66918000000000.0,67120000000000.0,59066000000000.0,41924000000000.0,0.7022,0.3377,41510.0,41510.0,16220.0,11140.0,11200.0,4.6490800452328,0.4171149065108194,0.2299755261169323,1.031694433157253,56.0,56.0,13.0,3.0
0.4922,7480723174,-1,61067000000000.0,0.947383972,152.037994,760.73944,74.65668,677.93567,61097000000000.0,61157000000000.0,56302000000000.0,36234000000000.0,0.7696,0.4605,88180.0,88180.0,41080.0,21280.0,24620.0,6.231231727511401,0.4042436681526304,0.2218827328328933,1.031694433157253,56.0,54.0,15.0,8.0
