scale,CtreesHaloID,pid,mvir,rvir,rs,x,y,z,Mmvir_all,M200b,M200c,M500c,T/|U|,Halfmass_Scale,Acc_Rate_Inst,Acc_Rate_100Myr,Acc_Rate_1*Tdyn,Acc_Rate_2*Tdyn,Acc_Rate_Mpeak,c_vir,R200c,R500c,redshift,Ngal_Dsep_1,Ngal_Rvir,Ngal_R200c,Ngal_R500c
1.0,12582098364,-1,78632000000000.0,0.8717239990000001,219.524994,88.88515,440.46088,11.95163,78873000000000.0,85771000000000.0,63375000000000.0,41378000000000.0,0.6511,0.6712,-3206.0,-3206.0,3370.0,7564.0,8151.0,3.9709555760197,0.5700881893621073,0.2966600218960039,0.0,47.0,41.0,27.0,12.0
1.0,12572229140,-1,78096000000000.0,0.869739014,117.069,1.78635,400.15906,93.40897,78167000000000.0,89102000000000.0,64264000000000.0,49420000000000.0,0.5854,0.4814,2492.0,2492.0,1659.0,3667.0,5443.0,7.429285412876101,0.5686598749406602,0.29580876091156,0.0,47.0,38.0,18.0,8.0
1.0,12572188323,-1,77160000000000.0,0.866249023,109.720001,13.83786,417.06238,57.13461,77253000000000.0,83796000000000.0,62702000000000.0,46931000000000.0,0.5828,0.5032,14970.0,14970.0,6337.0,4501.0,2637.0,7.895087633110699,0.5661504197136652,0.2943138641992361,0.0,33.0,29.0,11.0,2.0
1.0,12582098658,-1,76711000000000.0,0.8645670169999999,119.611,94.50788,456.28592,34.04942,76881000000000.0,81869000000000.0,64200000000000.0,45039000000000.0,0.5806,0.4406,2099.0,2099.0,4413.0,3874.0,3132.0,7.2281564153798,0.5649398610751882,0.293593199143252,0.0,41.0,37.0,15.0,2.0
1.0,12582098594,-1,74342000000000.0,0.855572021,110.852997,99.15246,456.35281,30.00878,74412000000000.0,82034000000000.0,62798000000000.0,45314000000000.0,0.599,0.4709,4713.0,4713.0,5630.0,3231.0,4106.0,7.7180774914006,0.5584759005843538,0.2897486224927834,0.0,36.0,34.0,17.0,2.0
1.0,12582133355,-1,71563000000000.0,0.844775024,152.447006,81.10435,489.83975,83.26348,71569000000000.0,78167000000000.0,60844000000000.0,42438000000000.0,0.7774,0.8951,16640.0,16640.0,19080.0,9358.0,7413.0,5.541434011501599,0.550723212617553,0.2851467154785458,0.0,41.0,37.0,18.0,7.0
1.0,12572770964,-1,71484000000000.0,0.8444669800000001,190.229996,66.88308,483.81516,36.26738,72464000000000.0,81593000000000.0,56341000000000.0,39055000000000.0,0.696,0.6421,6572.0,6572.0,6225.0,4447.0,5825.0,4.4391893905102,0.5505002272048877,0.285014645576484,0.0,50.0,43.0,18.0,6.0
1.0,12572771347,-1,70760000000000.0,0.8416060179999999,206.628998,62.57397,466.47629,42.10077,70974000000000.0,79713000000000.0,56039000000000.0,34390000000000.0,0.6487,0.6565,7173.0,7173.0,6917.0,5040.0,7169.0,4.0730295657727,0.5484474983855315,0.2837979114713622,0.0,58.0,50.0,24.0,4.0
1.0,12572805625,-1,69707000000000.0,0.8374080199999999,125.371002,36.30859,457.94049,61.20566,69707000000000.0,80845000000000.0,56117000000000.0,41491000000000.0,0.6028,0.7016,-8344.0,-8344.0,-3290.0,5223.0,8586.0,6.6794394767619,0.5454377400887628,0.2820151026837612,0.0,40.0,29.0,16.0,9.0
1.0,12582098774,-1,69591000000000.0,0.836942993,183.817993,97.79284,475.47516,26.07661,69917000000000.0,91508000000000.0,53022000000000.0,35544000000000.0,0.6934,0.628,21210.0,21210.0,9902.0,5867.0,5691.0,4.5531070127612,0.5451044094680665,0.2818177510284669,0.0,60.0,47.0,25.0,7.0
1.0,12572807371,-1,66596000000000.0,0.824763,95.600998,44.64531,471.73166,75.25419,67072000000000.0,72707000000000.0,58423000000000.0,46227000000000.0,0.7088,0.6565,6607.0,6607.0,9858.0,5921.0,6824.0,8.6271379719278,0.5363730229324218,0.2766554649082716,0.0,42.0,37.0,19.0,10.0
1.0,12572229590,-1,65865000000000.0,0.8217319949999999,118.625999,53.93109,433.65298,78.34582,66145000000000.0,72257000000000.0,54497000000000.0,39266000000000.0,0.6827,0.6862,6978.0,6978.0,9532.0,6948.0,7174.0,6.9270817689805,0.5342038057780322,0.2753748415523376,0.0,34.0,28.0,11.0,4.0
1.0,12572807280,-1,64791000000000.0,0.817242981,168.873001,18.01538,454.34094,84.69266,64901000000000.0,69734000000000.0,54643000000000.0,39049000000000.0,0.748,0.8564,2605.0,2605.0,16580.0,9868.0,7632.0,4.8393939597248,0.530989034342437,0.2734787148552108,0.0,48.0,44.0,20.0,5.0
1.0,12572771428,-1,64471000000000.0,0.8158930050000001,157.334,21.38805,482.76059,26.94184,64471000000000.0,72084000000000.0,52900000000000.0,34235000000000.0,0.6359,0.628,94.39,94.39,3024.0,4061.0,4355.0,5.185738651531101,0.5300244283033115,0.2729099861184433,0.0,53.0,42.0,19.0,2.0
1.0,12572771503,-1,63510000000000.0,0.8118209839999999,136.386002,3.05195,491.25415,18.90602,63575000000000.0,68981000000000.0,51831000000000.0,34606000000000.0,0.6168,0.7498,468.8,468.8,5103.0,8043.0,6540.0,5.9523776054378,0.5271096962371453,0.2711929056056116,0.0,37.0,35.0,22.0,8.0
1.0,12572771568,-1,62854000000000.0,0.809015015,120.544998,10.37464,469.79666,14.95455,62913000000000.0,71426000000000.0,50171000000000.0,34770000000000.0,0.6088,0.526,75.51,75.51,2750.0,4403.0,4453.0,6.7113113644085,0.5251036530806067,0.2700118796974998,0.0,38.0,26.0,12.0,2.0
1.0,12572807559,-1,62241000000000.0,0.8063770140000001,61.723999,9.96129,476.78979,57.20671,62274000000000.0,67516000000000.0,56211000000000.0,45734000000000.0,0.6682,0.5032,2970.0,2970.0,7552.0,5159.0,2942.0,13.0642380121871,0.5232171092962669,0.2689019420978945,0.0,33.0,29.0,13.0,2.0
1.0,12572188175,-1,61484000000000.0,0.8030939939999999,103.325996,11.02571,417.29538,71.24217,61645000000000.0,67119000000000.0,52585000000000.0,37485000000000.0,0.5894,0.5032,3165.0,3165.0,1620.0,1885.0,1379.0,7.772429253912,0.5208708827611693,0.2675223723953317,0.0,32.0,25.0,12.0,3.0
1.0,12582133743,-1,60945000000000.0,0.800741028,152.194,72.96752,453.03854,65.12157,61657000000000.0,68811000000000.0,52012000000000.0,32112000000000.0,0.633,0.7666,-1422.0,-1422.0,494.9,8061.0,7423.0,5.2613179757414,0.5191891360327575,0.2665341690855363,0.0,35.0,23.0,15.0,5.0
1.0,12572807064,-1,59813000000000.0,0.7957520140000001,79.574997,40.85989,449.6228,65.70512,59833000000000.0,64567000000000.0,52519000000000.0,40590000000000.0,0.5951,0.5032,4206.0,4206.0,4107.0,2040.0,2157.0,10.0000256864602,0.5156258845326053,0.2644419823329851,0.0,28.0,23.0,12.0,3.0
1.0,12582098999,-1,59422000000000.0,0.794012024,79.193001,69.95825,470.60461,32.72952,59456000000000.0,65398000000000.0,50759000000000.0,36878000000000.0,0.5852,0.5622,1356.0,1356.0,2161.0,2500.0,1825.0,10.0262903788682,0.5143849866496447,0.263713818731383,0.0,29.0,22.0,9.0,1.0
1.0,12572880994,-1,122370000000000.0,1.010197021,162.382996,39.88478,449.13174,193.68059,122370000000000.0,135640000000000.0,99021000000000.0,69762000000000.0,0.5941,0.6712,786.5,786.5,-568.2,7363.0,12030.0,6.2210763804357,0.670310496319858,0.3571534222206138,0.0,60.0,61.0,30.0,10.0
1.0,12582167716,-1,118950000000000.0,1.000687988,208.677994,98.55215,462.32339,160.88179,119240000000000.0,128470000000000.0,98716000000000.0,66119000000000.0,0.6462,0.7173,10320.0,10320.0,18580.0,14650.0,11930.0,4.7953690219966,0.6633992270573688,0.352936387994285,0.0,67.0,67.0,31.0,8.0
1.0,12572880778,-1,117000000000000.0,0.995208008,150.082001,2.72465,482.22925,182.8613,117010000000000.0,126820000000000.0,99773000000000.0,71987000000000.0,0.59,0.5378,3618.0,3618.0,2927.0,1381.0,1815.0,6.6310950105202,0.6594028178093274,0.3505019674482668,0.0,66.0,64.0,33.0,7.0
1.0,12572880538,-1,107900000000000.0,0.96869397,310.161987,31.68274,487.64395,171.7131,108420000000000.0,121880000000000.0,69156000000000.0,45104000000000.0,0.7717,0.6565,78820.0,78820.0,17710.0,10260.0,10110.0,3.1231872718174003,0.6401574968444839,0.3388033224931747,0.0,42.0,39.0,19.0,3.0
1.0,12572841709,-1,95518000000000.0,0.930125,136.580994,17.59605,485.91873,128.44096,95575000000000.0,105280000000000.0,76908000000000.0,59260000000000.0,0.7279,0.8376,5717.0,5717.0,22170.0,12440.0,10460.0,6.810061727915,0.612219516088941,0.3219130181860494,0.0,57.0,53.0,31.0,7.0
1.0,12572881299,-1,92390000000000.0,0.919857971,216.255005,3.30479,485.85242,178.71899,92793000000000.0,100330000000000.0,74429000000000.0,51565000000000.0,0.7094,0.8755,10580.0,10580.0,24170.0,16070.0,12470.0,4.2535800315927,0.6047978555308486,0.3174450042174419,0.0,60.0,59.0,34.0,12.0
1.0,12582132870,-1,90164000000000.0,0.912408997,128.619995,80.41895,458.30298,100.17192,90165000000000.0,101110000000000.0,73955000000000.0,53817000000000.0,0.5988,0.5876,-1192.0,-1192.0,1377.0,-395.7,2584.0,7.0938348038343,0.5994176725809044,0.3142110849427759,0.0,45.0,41.0,16.0,2.0
1.0,12572229101,-1,87823000000000.0,0.904442993,193.738998,1.98198,423.35034,103.10686,87907000000000.0,99247000000000.0,67150000000000.0,46070000000000.0,0.5928,0.7498,-3442.0,-3442.0,1259.0,11430.0,9890.0,4.6683579575445,0.593667002210657,0.3107593522534689,0.0,62.0,56.0,20.0,7.0
1.0,12572228723,-1,86597000000000.0,0.90021698,103.694,9.13383,403.35022,105.49677,86694000000000.0,104420000000000.0,71123000000000.0,53293000000000.0,0.6131,0.4605,7758.0,7758.0,5921.0,3673.0,4113.0,8.6814760738326,0.5906162600688118,0.3089303587494842,0.0,47.0,41.0,21.0,8.0
1.0,12572262558,-1,85711000000000.0,0.897133972,226.623001,62.25989,403.76807,146.51498,86004000000000.0,90839000000000.0,72205000000000.0,43362000000000.0,0.6808,0.8013,6352.0,6352.0,15550.0,13220.0,10170.0,3.9587066098378,0.5883940331387313,0.3075987741151078,0.0,69.0,64.0,37.0,11.0
1.0,12582168781,-1,83601000000000.0,0.889713989,167.557007,73.62059,466.02414,109.30243,83860000000000.0,86573000000000.0,73572000000000.0,52817000000000.0,0.687,0.8376,9690.0,9690.0,17060.0,13110.0,10470.0,5.3099181283418,0.5830425031513616,0.3043956426279257,0.0,50.0,47.0,34.0,7.0
